title,price,discount,extra_info_3,likes,extra_info_2,course_subject
부트캠프에서 알려주지 않는 것들 (리액트) 1편,"₩27,500",할인 없음,중급이상,222,(3시간 59분),프론트엔드
Flutter 초입문 왕초보편,"₩99,000",할인 없음,입문,166,(9시간 29분),모바일 앱 개발
HTML5 CSS3 기초 & 반응형 웹 템플릿 만들기!,"₩27,500",24%,입문,163,(10시간 0분),"웹 퍼블리싱, 웹 개발"
"Flutter 초급 - Http통신, 상태관리","₩33,000",할인 없음,초급,"1,557",(2시간 45분),모바일 앱 개발
[LV3] Jetpack Compose - 그럴 듯한 다이어트 앱 만들기,"₩49,500",할인 없음,초급,12,(3시간 48분),"모바일 앱 개발, Android"
스마트 애자일/스크럼 프로젝트 관리 실무,"₩99,000",할인 없음,초급,14,(4시간 21분),"기획 · PM· PO, 개발 · 프로그래밍"
깡샘의 쌩초보 안드로이드 One Day Class – Part6 앱에 다양한 기능 추가하기,"₩26,400",할인 없음,초급,0,(6시간 29분),"모바일 앱 개발, Android"
깡샘의 쌩초보 안드로이드 One Day Class – Part3 앱의 기본 기능 구현하기,"₩44,000",할인 없음,초급,1,(9시간 5분),"모바일 앱 개발, Android"
챗 GPT를 활용한 파이썬 프로그래밍,"₩110,000",할인 없음,초급,13,(9시간 21분),"프로그래밍 언어, Python"
비전공자를 위한 Spring MVC 뽀개기 응용,"₩66,000",할인 없음,초급,14,(5시간 47분),"백엔드, 웹 개발"
비전공자를 위한 Spring AOP(Aspect Oriented Programming) 뽀개기,"₩66,000",할인 없음,초급,15,(5시간 43분),세부 주제 없음
[중급편] 친절한 JETPACK 개론 <하> (Android Kotlin),"₩57,750",25%,중급이상,52,(8시간 20분),모바일 앱 개발
문제로 배우는 C언어,"₩33,000",할인 없음,입문,"1,853",(8시간 52분),"프로그래밍 언어, 알고리즘 · 자료구조"
[웹 개발 풀스택 코스] Vue.js 프로젝트 투입 일주일 전 - 기초에서 실무까지,"₩242,000",할인 없음,초급,75,(23시간 59분),"프론트엔드, 웹 개발"
[웹 개발 풀스택 코스] 순수 자바스크립트 기초에서 실무까지,"₩264,000",할인 없음,초급,70,(26시간 26분),"웹 개발, 프론트엔드"
[DevOps 정석 1] Monolith to Microservice 전환 with Spring/Python/Node.js와 Strangler Fig 패턴,"₩165,000",할인 없음,초급,84,(5시간 21분),"데브옵스 · 인프라, 백엔드"
구글클라우드(GCP) 플랫폼 기초 활용법,"₩24,750",25%,초급,136,(4시간 9분),"데브옵스 · 인프라, 클라우드"
오늘부터 개발자 - 개발자를 준비하기 전 꼭 알아야 할 것,"₩44,000",할인 없음,입문,532,(4시간 11분),"취업 · 이직, 개발 · 프로그래밍"
자바스크립트 제대로 배워볼래?,"₩77,000",할인 없음,초급,"1,335",(12시간 41분),프로그래밍 언어
"AWS 클라우드 서비스 인프라 구축 이해와 해킹, 보안","₩99,000",25%,초급,"1,942",(19시간 50분),"보안, 데브옵스 · 인프라"
비전공자를 위한 개발자 취업 개론,"₩44,000",할인 없음,입문,"2,116",(3시간 24분),"취업 · 이직, 개발 · 프로그래밍"
데브옵스(DevOps)를 위한 쿠버네티스 마스터,"₩247,500",25%,초급,"2,911",(38시간 57분),"백엔드, 데브옵스 · 인프라"
앱 개발 기초부터 실전까지 하나로 끝내는 Swift & iOS 마스터 클래스,"₩297,000",할인 없음,입문,42,(163시간 12분),"모바일 앱 개발, iOS"
쉬운 용어로 배우는 Git & Github 첫걸음 - 협업까지 마스터하기,가격 정보 없음,할인 없음,입문,182,(1시간 30분),"개발 도구, Git"
Strapi로 코딩없이 나만의 API 서버 만들기,"₩33,000",할인 없음,중급이상,20,(2시간 14분),"백엔드, 데브옵스 · 인프라"
비전공자를 위한 자바,가격 정보 없음,할인 없음,입문,87,(17시간 25분),프로그래밍 언어
빠르게 알아보는 Javascript V8엔진,"₩25,300",할인 없음,초급,71,(1시간 34분),프로그래밍 언어
"[C#/.NET 7.0]어서와, WPF는 처음이지?","₩88,000",할인 없음,초급,57,(4시간 19분),데스크톱 앱 개발
장래쌤과 함께하는 쉽고 재미있는 SQL 이야기,"₩49,500",할인 없음,입문,42,(9시간 58분),세부 주제 없음
입문강의 타입스크립트부터 ionic6 (앵귤러 기반),"₩38,500",할인 없음,입문,28,(9시간 59분),"웹 개발, 모바일 앱 개발"
스트림릿(Streamlit)을 활용한 파이썬 웹앱 제작하기,"₩11,000",할인 없음,초급,68,(1시간 49분),"웹 개발, 풀스택"
[아임웹] 나만의 비즈니스 랜딩페이지 만들기,"₩88,000",할인 없음,입문,43,(8시간 53분),"기획 · PM· PO, 웹 개발"
"파이썬, 그냥 재미로","₩33,000",할인 없음,입문,330,(10시간 20분),프로그래밍 언어
윤재성의 자바 기반 안드로이드 앱개발 Part 3 - 데이터관리와 네트워크,"₩88,000",할인 없음,초급,36,(20시간 21분),세부 주제 없음
현대인을 위한 파이썬 기초,"₩29,700",할인 없음,입문,2,(3시간 4분),프로그래밍 언어
30분 요약강좌 시즌5 : 알잘딱깔센 flex & grid,가격 정보 없음,할인 없음,초급,208,(1시간 55분),"웹 개발, 프론트엔드"
AWS Certified Solutions Architect - Associate 자격증 준비하기,"₩148,500",할인 없음,초급,708,(24시간 14분),"클라우드, 보안 · 네트워크 자격증"
(2024 최신 업데이트)리액트 : 프론트엔드 개발자로 가는 마지막 단계,"₩156,200",할인 없음,초급,197,(16시간 32분),프론트엔드
처음 만난 리액트(React),가격 정보 없음,할인 없음,입문,"1,622",(5시간 15분),"프론트엔드, 웹 개발"
윤재성의 자바 기반 안드로이드 앱개발 Part 2 - 메뉴와 4대 구성요소,"₩77,000",할인 없음,초급,48,(17시간 34분),모바일 앱 개발
"입문자를 위한, HTML&CSS 웹 개발 입문",가격 정보 없음,할인 없음,입문,417,(7시간 34분),"웹 퍼블리싱, 웹 개발"
하루만에 Cypress로 작성하는 자바스크립트 E2E 테스트 코드,"₩11,000",할인 없음,초급,527,(45분),"소프트웨어 테스트, Cypress"
ES6 문법과 함께하는 모던 Javascript(자바스크립트) 고급 Part.1,"₩56,100",할인 없음,중급이상,"44,496",(12시간 30분),프로그래밍 언어
한 장의 CheatSheet로 살펴보는 C#,"₩44,000",할인 없음,입문,127,(4시간 27분),프로그래밍 언어
Confluence를 활용해서 효과적으로 지식 관리와 프로젝트 협업하기,"₩88,000",할인 없음,입문,711,(5시간 46분),"기획 · PM· PO, 개발 도구"
Google Sheets로 만드는 마크다운 스티커 메모,"₩27,500",할인 없음,초급,95,(2시간 46분),세부 주제 없음
리눅스 입문 - 개념으로 탄탄히!!,"₩77,000",할인 없음,입문,"2,129",(12시간 37분),"시스템 · 운영체제, 데브옵스 · 인프라"
Google Sheets로 만드는 Simple Blog!,가격 정보 없음,할인 없음,초급,102,(1시간 7분),세부 주제 없음
면접을 부르는 [개발자 이력서] 쓰기,"₩55,000",할인 없음,입문,888,(1시간 13분),"취업 · 이직, 개발 · 프로그래밍"
[C#과 유니티로 만드는 MMORPG 게임 개발 시리즈] 번외편: ASP.NET Core 심화편,가격 정보 없음,할인 없음,중급이상,356,(8시간 30분),"게임 프로그래밍, 백엔드"
[C#과 유니티로 만드는 MMORPG 게임 개발 시리즈] 번외편: AWS로 시작하는 서버 운영,"₩44,000",할인 없음,초급,920,(10시간 45분),"데브옵스 · 인프라, 백엔드"
만들면서 배우는 Svelte,"₩33,000",할인 없음,초급,227,(5시간 7분),"프론트엔드, 웹 개발"
"Microcosm SW Fair - 경쟁없는, 나만의 시빅해킹",가격 정보 없음,할인 없음,입문,70,(37분),"기획 · PM· PO, 개발 · 프로그래밍"
[백문이불여일타] 데이터 분석을 위한 중급 SQL,"₩38,500",할인 없음,초급,"3,314",(4시간 15분),세부 주제 없음
"Verilog FPGA Program 5 (LVDS/Serdes, HIL-A35T)","₩82,500",할인 없음,중급이상,7,추가 정보 없음,"반도체, 임베디드 · IoT"
iOS 개발 찍먹하기 - SwiftUI,가격 정보 없음,할인 없음,초급,61,(5시간 32분),모바일 앱 개발
"클론코딩에서 알려주지 않는 것들 (보안, DDD, 마이크로서비스) 2편","₩24,200",할인 없음,중급이상,78,(4시간 46분),백엔드
Flutter 테스트 기초,"₩33,000",할인 없음,초급,38,(2시간 1분),"소프트웨어 테스트, Flutter"
클론코딩에서 알려주지 않는 것들 (시스템 이론과 DB) 1편,"₩22,000",할인 없음,입문,82,(2시간 55분),"백엔드, 개발 · 프로그래밍"
실전 연습으로 익히는 고급 타입스크립트 기술,"₩38,500",할인 없음,중급이상,98,(2시간 57분),웹 개발
Flutter 중급 3편 - 의존성 주입 가이드,"₩77,000",할인 없음,중급이상,43,(3시간 22분),모바일 앱 개발
리셀봇 원리로 알아보는 Cypress,"₩11,000",할인 없음,초급,22,(1시간 7분),"소프트웨어 테스트, Cypress"
부트캠프에서 알려주지 않는 것들 (리액트 렌더링 최적화 편) 2편,"₩13,200",할인 없음,중급이상,238,(1시간 37분),"웹 개발, 프론트엔드"
모던 안드로이드 - Jetpack Compose 입문,"₩77,000",할인 없음,초급,231,(7시간 44분),모바일 앱 개발
비전공자를 위한 개발자 취업 올인원 가이드 [취업편],"₩44,000",할인 없음,입문,521,(12시간 32분),"취업 · 이직, 개발 · 프로그래밍"
