title,price,discount,extra_info_3,likes,extra_info_2,course_subject
ADsP 2주 합격 올인원 패스,"₩119,900",할인 없음,입문,111,(25시간 1분),"데이터 분석, 데이터 사이언스 자격증"
데이터 기반 디지털트랜스포메이션 - DT 전략 마스터 클래스,"₩108,900",할인 없음,입문,33,(5시간 4분),"데이터 분석, 기획 · PM· PO"
최반장의 엑셀 피벗테이블 마스터 클래스,"₩55,000",할인 없음,초급,"1,262",(6시간 14분),"오피스, 데이터 분석"
30분 요약 강좌 시즌2 : Python 활용편,가격 정보 없음,할인 없음,입문,311,(3시간 51분),"데이터 분석, 프로그래밍 언어"
중고급 SQL과 실전 데이터 분석 101 문제 풀이 [데이터분석/과학 Part1],"₩66,000",할인 없음,초급,70,(9시간 29분),세부 주제 없음
실리콘밸리 엔지니어와 함께하는 Scala,"₩44,000",할인 없음,초급,23,(3시간 37분),"프로그래밍 언어, 데이터 엔지니어링"
선배 데이터 분석가의 SQL 코딩테스트 노하우 공개 [월간 데이터리안 세미나 다시보기 | 2023년 12월],가격 정보 없음,할인 없음,입문,86,(36분),"데이터 분석, SQL"
실리콘밸리 엔지니어와 함께하는 Apache Airflow,"₩66,000",할인 없음,초급,133,(4시간 6분),데이터 엔지니어링
요즘 핫한 사이드 프로젝트가 데이터 보는 방법 [월간 데이터리안 세미나 다시보기 | 2023년 8월],"₩33,000",할인 없음,입문,19,(2시간 13분),"기획 · PM· PO, 빅데이터"
QGIS 지도 시각화 A to Z (벡터/기초편),"₩60,500",할인 없음,초급,39,(6시간 42분),데이터 분석
내일 당장 써먹을 수 있는 GA4 활용법 [월간 데이터리안 세미나 다시보기 | 2023년 6월],"₩33,000",할인 없음,입문,29,(2시간 1분),마케팅
실전 프로젝트로 배우는 데이터 앱 만들기 with Python & Streamlit,"₩55,000",할인 없음,초급,73,(9시간 21분),"데이터 분석, 웹 개발"
데이터 분석가가 되면 어떤 일을 하나요? [월간 데이터리안 세미나 다시보기 | 2023년 1월],"₩33,000",할인 없음,입문,5,(1시간 56분),"취업 · 이직, 데이터 사이언스"
데이터 분석가 커리어: 사이드 프로젝트부터 퍼블릭 스피킹까지 [월간 데이터리안 세미나 다시보기 | 2022년 12월],"₩11,000",할인 없음,입문,10,(1시간 40분),데이터 분석
데이터 분석가 채용의 모든 것: 이력서부터 면접까지 [월간 데이터리안 세미나 다시보기 | 2022년 8월],"₩11,000",할인 없음,입문,16,(2시간 17분),세부 주제 없음
스스로 성장하는 분석가 커리어 만들기 [월간 데이터리안 세미나 다시보기 | 2022년 6월],"₩11,000",할인 없음,입문,9,(2시간 20분),"취업 · 이직, 데이터 사이언스"
데이터 분석가는 어떤 일을 하나요? [월간 데이터리안 세미나 다시보기 | 2022년 3월],"₩11,000",할인 없음,입문,43,(1시간 57분),"데이터 분석, 취업 · 이직"
태블로 자격증 문제풀이,"₩44,000",할인 없음,초급,16,(1시간 36분),"데이터 사이언스 자격증, Tableau"
엑셀로 만드는 딥러닝 프레임워크,"₩22,000",할인 없음,초급,15,(8시간 45분),데이터 분석
SQL 코딩테스트를 위한 마지막 걸음,"₩22,000",할인 없음,중급이상,44,(1시간 52분),"데이터베이스, 데이터 분석"
실무에 바로 쓰자! 이커머스 데이터로 배우는 실전 SQL 분석,"₩49,500",할인 없음,초급,117,(3시간 43분),"데이터 분석, 기획 · PM· PO"
파이썬을 활용한 데이터분석과 IT보안,"₩99,000",25%,초급,640,(23시간 28분),"데이터 분석, 보안"
파이썬 증권 데이터 수집과 분석으로 신호와 소음 찾기,"₩89,100",할인 없음,초급,"2,270",(21시간 43분),데이터 분석
엑셀로 배우는 기초통계,"₩148,500",할인 없음,초급,51,(6시간 20분),"수학, 데이터 분석"
SQLD 2주만에 따는 필승 합격법: 최신 개정판 기출문제로 초단기 공략,"₩89,100",할인 없음,입문,22,(13시간 54분),"데이터 사이언스 자격증, SQLD"
빅데이터분석기사 필기: 최신기출변형,"₩39,600",할인 없음,초급,4,(2시간 59분),"데이터 사이언스 자격증, 빅데이터분석기사"
빅데이터분석기사 필기: 3과목 빅데이터 모델,"₩49,500",할인 없음,초급,4,(9시간 25분),"데이터 사이언스 자격증, 빅데이터분석기사"
빅데이터 기반 정책평가론,가격 정보 없음,할인 없음,입문,9,(6시간 32분),"데이터 분석, 빅데이터"
R언어 프로그래밍과 데이터분석,가격 정보 없음,할인 없음,입문,31,(13시간 23분),"프로그래밍 언어, 데이터 분석"
Orange를 활용한 코딩 없는 AI 데이터 분석 - Lv.0 인공지능 기반 데이터 분석 입문,"₩59,400",할인 없음,입문,10,(2시간 57분),"데이터 분석, AI · ChatGPT 활용"
구글 데이터 스튜디오 데이터 시각화 입문,"₩66,000",할인 없음,입문,41,(3시간 19분),"데이터 분석, 마케팅"
"미국 데이터분석 필수 솔루션, 알터릭스 자격증 따기","₩55,000",할인 없음,초급,43,(1시간 31분),"데이터 분석, 데이터 사이언스 자격증"
"비즈니스 애널리틱스, 비즈니스 현황분석 실무 마스터 클래스","₩129,800",할인 없음,초급,25,(10시간 2분),"데이터 분석, 오피스"
12시간 안에 끝내는 파이썬을 활용한 크롤링,"₩44,000",할인 없음,초급,122,(12시간 7분),세부 주제 없음
[개념반]배워서 바로 쓰는 SQL 쿼리,"₩59,400",할인 없음,입문,"1,298",(5시간 24분),"데이터 분석, 데이터 분석"
RPA와 Process Mining 입문과 연계,"₩55,000",할인 없음,입문,286,(5시간 28분),"업무 자동화, 데이터 사이언스"
Node.js로 웹 크롤링하기,"₩55,000",할인 없음,중급이상,"1,539",(13시간 36분),"데이터 분석, 웹 개발"
R로 배우는 데이터 분석 첫 걸음 - 기초 문법부터 데이터마이닝 실습까지,"₩99,000",할인 없음,입문,23,(14시간 10분),데이터 분석
"비즈니스 애널리틱스, 데이터 기반 전략 수립 실무 마스터 클래스","₩79,200",할인 없음,초급,20,(4시간 46분),"데이터 분석, 오피스"
"비즈니스 애널리틱스, 데이터 기반 실적 개선 프로젝트 실무 마스터 클래스","₩129,800",할인 없음,초급,23,(8시간 20분),"데이터 분석, 오피스"
내 집 마련 파이썬,"₩99,000",할인 없음,초급,55,(2시간 9분),데이터 분석
데이터 사이언스로 내리는 경영 의사결정 마스터 클래스,"₩159,500",할인 없음,초급,77,(12시간 24분),"데이터 분석, 경영 · 전략"
데이터 리터러시 - 데이터 읽고 쓰기의 기술,"₩79,200",할인 없음,입문,180,(6시간 22분),데이터 분석
"핵심만 쉽게, 모두의 SQL 데이터 분석","₩74,250",25%,입문,624,(8시간 31분),"데이터 분석, 마케팅"
[소프데이터] 예제로 배우는 기초 SQL,"₩14,300",할인 없음,입문,338,(1시간 27분),"데이터 분석, 마케팅"
ADsP 퀵스타트!,가격 정보 없음,할인 없음,입문,15,(1시간 34분),"데이터 사이언스 자격증, ADsP"
Spotfire 사용자교육 고급편 5: R & Python 연동,"₩70,400",할인 없음,중급이상,2,(2시간 2분),"데이터 분석, Spotfire"
다른 회사는 퍼널 분석 어떻게 하고 있을까? [데이터리안 세미나 다시보기 | 2024년 3월],가격 정보 없음,할인 없음,입문,42,(46분),데이터 분석
마케팅 성과 분석의 모든 것 (feat. GA4) [월간 데이터리안 세미나 다시보기 | 2023년 11월],"₩33,000",할인 없음,입문,17,(1시간 49분),마케팅
하트카운트와 함께 쉽게 시작하는 파이썬 & 데이터 전처리,"₩99,000",할인 없음,입문,7,(4시간 43분),데이터 분석
데이터 분석가 무엇이든 물어보세요 [월간 데이터리안 세미나 다시보기 | 2023년 7월],"₩33,000",할인 없음,입문,6,(2시간 5분),"데이터 분석, 취업 · 이직"
"AI에게 좋은 답을 얻으려면, AI처럼 생각하라! 컴퓨팅 사고력","₩110,000",할인 없음,입문,9,(4시간 37분),"개발 · 프로그래밍, 데이터 사이언스"
딥러닝과 데이터분석을 위한 기초수학 (w.파이썬),"₩110,000",할인 없음,입문,43,(7시간 44분),"데이터 분석, 딥러닝 · 머신러닝"
TEXTOM SV로 해보는 빅데이터 분석 (정제부터 시각화까지),"₩110,000",할인 없음,초급,2,(3시간 44분),데이터 분석
